population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_education,year
14557,851.82385,.0085100178,845.39685,.99149001,100000,99245.5,1700669.8,17.006697,1,0,.0084620807,65,1,1,2006
14832,1638.3495,.016268883,1613.1346,.98373109,99154.602,98235.117,1601424.3,16.150782,.99154603,.00013522094,.016383495,66,1,1,2006
15461,1752.7974,.017390803,1696.3245,.98260921,97541.469,96608.492,1503189.1,15.410769,.97541469,.00040679335,.017527975,67,1,1,2006
14921,1970.3773,.019522976,1871.1824,.98047704,95845.141,94853.414,1406580.8,14.675556,.95845139,.00074514828,.019703774,68,1,1,2006
14633,2132.167,.02109676,1982.5461,.97890323,93973.961,92982.688,1311727.3,13.958412,.93973958,.001122698,.021321669,69,1,1,2006
14244,2604.6055,.025711216,2365.2112,.97428876,91991.414,90808.805,1218744.6,13.248461,.91991413,.0017425013,.026046054,70,1,1,2006
14153,2925.1748,.028830083,2583.9309,.97116989,89626.203,88334.234,1127935.8,12.584888,.89626205,.0024024458,.029251749,71,1,1,2006
13690,2965.6685,.029223351,2543.667,.97077668,87042.273,85770.438,1039601.6,11.94364,.87042272,.0028689257,.029656686,72,1,1,2006
13513,3426.3303,.033686202,2846.4373,.96631378,84498.609,83075.391,953831.13,11.288128,.84498608,.0037283944,.034263302,73,1,1,2006
13820,3820.55,.037489351,3061.0869,.96251065,81652.172,80121.625,870755.75,10.664208,.8165217,.0045859371,.038205501,74,1,1,2006
13486,4122.7939,.040395234,3174.7053,.95960474,78591.086,77003.734,790634.13,10.0601,.78591084,.0053416002,.04122794,75,1,1,2006
13569,4849.2891,.047344945,3570.5845,.95265508,75416.383,73631.094,713630.38,9.4625378,.7541638,.0066198907,.04849289,76,1,1,2006
12957,5194.1035,.050626244,3637.283,.94937378,71845.797,70027.156,639999.25,8.9079571,.718458,.0073573543,.051941037,77,1,1,2006
12965,5499.4214,.053522501,3650.6904,.94647747,68208.516,66383.172,569972.13,8.3563194,.68208516,.0079163397,.054994218,78,1,1,2006
12057,6577.0923,.063676879,4110.8408,.93632311,64557.824,62502.402,503588.94,7.8005872,.64557827,.0094058905,.065770924,79,1,1,2006
11727,7461.4141,.071930617,4347.9888,.92806935,60446.984,58272.988,441086.53,7.297081,.60446984,.010395435,.074614137,80,1,1,2006
10768,8506.6865,.081596293,4577.4702,.91840369,56098.996,53810.262,382813.56,6.8238931,.56098998,.011273404,.085066862,81,1,1,2006
10233,9078.4717,.086842723,4474.2695,.91315728,51521.527,49284.391,329003.28,6.3857441,.51521528,.011175316,.090784714,82,1,1,2006
9860,10294.117,.097902097,4606.0254,.90209788,47047.258,44744.246,279718.91,5.945488,.47047257,.011474905,.10294118,83,1,1,2006
8834,11863.256,.11198974,4752.9829,.88801026,42441.234,40064.742,234974.66,5.5364709,.42441234,.011610896,.11863256,84,1,1,2006
8510,12491.187,.11756898,4430.9692,.88243103,37688.25,35472.766,194909.91,5.1716361,.37688249,.01040578,.12491187,85,1,1,2006
7699,14456.423,.13481921,4483.7202,.86518079,33257.281,31015.422,159437.14,4.7940521,.33257282,.0099524306,.14456423,86,1,1,2006
5557,15260.032,.14178231,4079.582,.85821772,28773.561,26733.77,128421.72,4.4631848,.28773561,.0083608516,.15260033,87,1,1,2006
4498,18341.484,.16800733,4148.7695,.83199269,24693.979,22619.594,101687.95,4.1179252,.24693978,.0077150729,.18341486,88,1,1,2006
3848,20738.045,.18789734,3860.3901,.81210268,20545.209,18615.014,79068.359,3.848506,.20545208,.0063017597,.20738046,89,1,1,2006
3165,22116.904,.19914652,3322.7236,.80085349,16684.818,15023.457,60453.344,3.6232545,.16684818,.0046189134,.22116905,90,1,1,2006
2406,25145.469,.22337086,2984.7026,.77662915,13362.095,11869.743,45429.887,3.3999076,.13362095,.0034552824,.25145468,91,1,1,2006
1982,27648.84,.24290781,2520.7498,.75709218,10377.393,9117.0176,33560.145,3.2339668,.10377393,.0023444209,.27648842,92,1,1,2006
1466,28990.451,.25320226,1989.3197,.74679774,7856.6426,6861.9829,24443.127,3.1111414,.078566425,.0014401429,.28990451,93,1,1,2006
