population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,level_education,year
4517,1439.0082,.014366638,1420.6788,.98563337,100000,98726.25,1561444.4,15.614444,1,0,.014229713,65,1,1,1,2006
4612,2970.5117,.029330473,2891.3782,.97066951,98579.32,96931.234,1462718.1,14.837981,.98579323,.00040493565,.029705118,66,1,1,1,2006
5419,2454.3274,.024275167,2322.8408,.97572482,95687.945,94410.383,1365786.9,14.273343,.95687944,.00095843151,.024543272,67,1,1,1,2006
5067,2624.8274,.025928404,2420.8081,.97407162,93365.102,92082.07,1271376.5,13.617256,.93365103,.0014996128,.026248274,68,1,1,1,2006
4983,3130.6443,.030823948,2803.2622,.96917605,90944.297,89542.664,1179294.4,12.967216,.90944296,.0023086676,.031306442,69,1,1,1,2006
4783,3679.699,.036132213,3184.7305,.96386778,88141.031,86548.664,1089751.8,12.363729,.8814103,.0033288773,.036796991,70,1,1,1,2006
4794,4005.0063,.039263804,3335.7073,.96073622,84956.297,83288.445,1003203.1,11.80846,.84956294,.0042632255,.040050063,71,1,1,1,2006
4601,4107.8027,.040251303,3285.335,.95974869,81620.586,79977.922,919914.63,11.27062,.81620586,.0049284576,.041078024,72,1,1,1,2006
4557,4366.9082,.04273596,3347.7322,.95726407,78335.25,76661.383,839936.75,10.722335,.78335249,.0056814817,.043669082,73,1,1,1,2006
4686,5420.4014,.05277374,3957.3716,.94722629,74987.516,73008.828,763275.31,10.178699,.74987513,.0074225417,.054204013,74,1,1,1,2006
4570,5120.3501,.049925324,3546.2026,.95007467,71030.141,69257.039,690266.5,9.7179384,.7103014,.0072971391,.051203497,75,1,1,1,2006
4565,5805.0386,.056412987,3806.9705,.94358701,67483.938,65580.453,621009.5,9.2023306,.67483938,.0083536804,.058050383,76,1,1,1,2006
4401,5862.3042,.056953643,3626.6353,.94304633,63676.969,61863.652,555429,8.7226048,.63676971,.0083881915,.058623038,77,1,1,1,2006
4431,6161.1372,.059770111,3589.2151,.94022989,60050.332,58255.723,493565.38,8.2191944,.60050333,.0086104935,.061611373,78,1,1,1,2006
4051,8244.8779,.07918445,4470.8423,.92081553,56461.117,54225.695,435309.66,7.7099018,.5646112,.010990467,.082448773,79,1,1,1,2006
4064,7578.7402,.073020391,3796.3501,.9269796,51990.273,50092.098,381083.94,7.3299084,.51990271,.0094758365,.075787403,80,1,1,1,2006
3683,8607.1133,.082519844,3976.9548,.91748017,48193.922,46205.445,330991.84,6.8679166,.48193923,.0099294148,.086071134,81,1,1,1,2006
3538,9157.7158,.08756756,3871.9722,.91243243,44216.969,42280.984,284786.41,6.4406586,.4421697,.0095504383,.091577157,82,1,1,1,2006
3369,10210.745,.097147696,3919.4233,.9028523,40344.996,38385.285,242505.42,6.0107932,.40344995,.0094331931,.10210744,83,1,1,1,2006
3006,11510.313,.10883926,3964.5325,.89116073,36425.574,34443.309,204120.14,5.6037588,.36425576,.0091808066,.11510313,84,1,1,1,2006
