population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
2413,663.07501,.0066257678,659.17987,.99337423,100000,99412.563,1673494,16.73494,1,0,.0065967296,65,1,1,2006
2018,2428.1467,.024030564,2387.2161,.97596943,99340.82,97980.109,1574081.5,15.845263,.9934082,.00015632313,.024281468,66,1,1,2006
2244,1693.4047,.01680598,1629.4003,.98319399,96953.602,96057.43,1476101.4,15.224822,.96953601,.00048125867,.016934047,67,1,1,2006
2068,1982.5919,.019642884,1872.4423,.98035711,95324.203,94331.813,1380043.9,14.477371,.953242,.00083457906,.01982592,68,1,1,2006
1830,2841.53,.028017242,2618.2605,.97198278,93451.758,92142.625,1285712.1,13.75803,.93451756,.0016022311,.028415302,69,1,1,2006
1772,2934.5374,.028921025,2626.9978,.97107899,90833.5,89520,1193569.5,13.14019,.90833497,.0021873054,.029345373,70,1,1,2006
1717,3028.5381,.02983362,2631.5193,.97016639,88206.5,86890.742,1104049.5,12.516645,.882065,.002737473,.030285383,71,1,1,2006
1624,3078.8176,.030321406,2594.7539,.96967858,85574.984,84277.609,1017158.8,11.886169,.85574985,.0032030174,.030788178,72,1,1,2006
1508,3381.9629,.033257253,2759.6946,.96674275,82980.234,81600.391,932881.13,11.242208,.82980233,.0038975284,.033819627,73,1,1,2006
1497,5210.4209,.05078125,4073.6992,.94921875,80220.539,78183.688,851280.75,10.611755,.80220538,.0064638164,.052104209,74,1,1,2006
1450,4413.793,.043184884,3288.3926,.95681512,76146.844,74502.648,773097.06,10.152713,.76146841,.0059728478,.044137929,75,1,1,2006
1388,6051.873,.058741257,4279.7969,.94125873,72858.453,70718.555,698594.44,9.5883789,.72858453,.0084632607,.060518727,76,1,1,2006
1340,4850.7461,.047358833,3247.8052,.95264119,68578.656,66954.75,627875.88,9.1555586,.68578655,.0069984794,.048507463,77,1,1,2006
1346,4754.8291,.046444122,3034.2341,.95355588,65330.852,63813.734,560921.13,8.5858536,.65330851,.0068724337,.047548294,78,1,1,2006
1155,7965.3682,.076602831,4772.0972,.92339718,62296.617,59910.57,497107.38,7.9796848,.62296617,.011208669,.07965368,79,1,1,2006
1197,6098.5796,.059181191,3404.3696,.94081879,57524.52,55822.336,437196.81,7.6001821,.5752452,.0083181737,.060985796,80,1,1,2006
1067,9746.9541,.092940122,5029.9331,.90705991,54120.148,51605.184,381374.47,7.0468111,.54120147,.012489446,.097469538,81,1,1,2006
1028,8171.2061,.078504674,3853.8113,.92149532,49090.215,47163.309,329769.28,6.7176175,.49090216,.0096313385,.08171206,82,1,1,2006
981,8766.5645,.083984375,3799.1509,.91601563,45236.402,43336.828,282605.97,6.247313,.45236403,.0094116675,.087665647,83,1,1,2006
836,11363.637,.10752688,4455.6182,.8924731,41437.25,39209.441,239269.16,5.7742529,.4143725,.010812357,.11363636,84,1,1,2006
796,13819.096,.12925969,4780.2344,.87074029,36981.633,34591.516,200059.7,5.4097042,.36981633,.011140442,.13819095,85,1,1,2006
716,12290.503,.11578947,3728.583,.88421053,32201.398,30337.107,165468.19,5.1385403,.32201397,.008140278,.12290503,86,1,1,2006
545,13394.495,.1255374,3574.4033,.8744626,28472.816,26685.615,135131.08,4.7459679,.28472817,.0072795595,.13394494,87,1,1,2006
419,17183.771,.15824176,3939.969,.84175825,24898.414,22928.43,108445.47,4.3555169,.24898414,.0073673888,.17183772,88,1,1,2006
335,18208.955,.16689466,3497.8525,.83310533,20958.445,19209.52,85517.039,4.0803142,.20958446,.0057945014,.18208954,89,1,1,2006
298,14429.53,.13458529,2349.9392,.86541474,17460.594,16285.624,66307.523,3.7975526,.17460594,.0033867017,.14429531,90,1,1,2006
196,29591.836,.25777778,3895.1909,.74222219,15110.654,13163.059,50021.898,3.3103728,.15110654,.0049964916,.29591838,91,1,1,2006
174,21839.08,.19689119,2208.2258,.80310881,11215.463,10111.35,36858.84,3.2864306,.11215463,.0021988621,.21839081,92,1,1,2006
121,30578.512,.26523298,2389.0164,.73476702,9007.2373,7812.729,26747.488,2.9695551,.090072371,.0019580219,.30578512,93,1,1,2006
