population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,neighborhood_deprivation,year
1872,1014.9573,.010137904,1005.8345,.98986208,100000,99101.172,1625277,16.252769,1,0,.010069831,65,1,1,1,2006
1548,2842.3772,.028080566,2779.8123,.97191942,98994.164,97409.672,1526175.9,15.416827,.98994166,.0002767907,.028423773,66,1,1,1,2006
1559,1860.1667,.01844725,1774.8903,.98155272,96214.352,95238.164,1428766.1,14.849823,.96214354,.00064647448,.018601667,67,1,1,1,2006
1301,1844.7349,.01828878,1727.1825,.98171121,94439.461,93524.055,1333528,14.120453,.94439459,.00090700312,.018447349,68,1,1,1,2006
1204,2740.8638,.027038099,2506.7639,.9729619,92712.281,91458.898,1240004,13.374755,.92712283,.0016937223,.027408639,69,1,1,1,2006
1152,3385.4167,.033290654,3003.0007,.96670938,90205.516,88704.016,1148545,12.732536,.90205514,.0026532009,.033854168,70,1,1,1,2006
1060,3018.8679,.029739777,2593.3833,.9702602,87202.516,85905.82,1059841,12.15379,.87202513,.0028941457,.030188678,71,1,1,1,2006
1010,4059.406,.03978651,3366.302,.96021348,84609.133,82925.984,973935.19,11.510994,.84609133,.0043836255,.040594056,72,1,1,1,2006
846,3546.0994,.034843206,2830.7607,.96515679,81242.828,79827.445,891009.25,10.967236,.8124283,.0043137553,.035460994,73,1,1,1,2006
914,5689.2778,.055319149,4337.689,.94468087,78412.07,76243.227,811181.75,10.345114,.78412068,.0073426417,.056892779,74,1,1,1,2006
857,5367.561,.052272726,3872.0698,.94772726,74074.383,72138.352,734938.56,9.921629,.74074382,.0074360166,.053675611,75,1,1,1,2006
795,5408.8052,.052663811,3697.1213,.9473362,70202.313,68353.75,662800.19,9.441287,.70202315,.0077338843,.054088052,76,1,1,1,2006
750,4800,.046875,3117.4307,.953125,66505.188,64946.473,594446.44,8.9383469,.66505188,.0069443225,.048,77,1,1,1,2006
729,6584.3623,.063745022,4040.6541,.93625498,63387.758,61367.43,529500,8.3533478,.63387758,.0093774199,.065843627,78,1,1,1,2006
626,9584.6641,.091463409,5428.0884,.90853661,59347.105,56633.063,468132.56,7.8880439,.59347105,.013095978,.095846638,79,1,1,1,2006
705,5531.915,.053830229,2902.4729,.94616979,53919.016,52467.777,411499.5,7.6318069,.53919017,.0072116042,.055319149,80,1,1,1,2006
607,7907.7432,.076069735,3880.8149,.92393029,51016.543,49076.137,359031.72,7.0375547,.51016545,.0096980277,.079077438,81,1,1,1,2006
603,9618.5742,.091772154,4325.7471,.90822786,47135.727,44972.852,309955.56,6.5758095,.47135726,.010778879,.096185736,82,1,1,1,2006
564,9929.0781,.094594598,4049.5928,.9054054,42809.98,40785.184,264982.72,6.1897416,.42809981,.0099146329,.099290781,83,1,1,1,2006
429,10256.41,.097560972,3781.501,.902439,38760.387,36869.637,224197.53,5.7841921,.38760388,.0089760404,.1025641,84,1,1,1,2006
485,14432.989,.13461538,4708.6958,.86538464,34978.887,32624.539,187327.91,5.3554564,.34978887,.010709299,.14432988,85,1,1,1,2006
411,12895.377,.12114286,3667.0176,.87885714,30270.191,28436.684,154703.36,5.1107492,.30270192,.0077401013,.12895377,86,1,1,1,2006
