population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
11355,1153.6768,.011521694,1141.8917,.9884783,100000,98978.484,1594472.8,15.944728,1,0,.011433722,65,1,1,2006
10582,2816.1028,.027824098,2750.6377,.9721759,98858.109,97290.242,1495494.3,15.127684,.98858112,.00031050542,.028161027,66,1,1,2006
11073,2275.8059,.022527354,2165.0469,.97747266,96107.469,94916.695,1398204,14.548339,.96107471,.0008099465,.022758059,67,1,1,2006
10145,2671.2666,.026381448,2478.3372,.97361857,93942.422,92628.906,1303287.4,13.873257,.93942422,.0014103313,.026712667,68,1,1,2006
9417,2930.8696,.0288854,2641.9768,.97111458,91464.086,90143.094,1210658.5,13.236436,.91464084,.0020626697,.029308697,69,1,1,2006
8790,3447.0989,.033886932,3009.9087,.96611309,88822.109,87317.156,1120515.4,12.615275,.88822109,.0029883694,.03447099,70,1,1,2006
8443,3553.2393,.034912135,2995.8872,.96508789,85812.203,84314.258,1033198.2,12.040224,.85812205,.0036474508,.035532389,71,1,1,2006
7986,3956.9246,.038801569,3213.4028,.96119845,82816.313,81209.609,948883.94,11.457694,.82816315,.0045729601,.039569244,72,1,1,2006
7575,4079.208,.039976712,3182.2625,.96002328,79602.906,78011.773,867674.31,10.900033,.79602909,.0051669371,.040792078,73,1,1,2006
7561,5224.1768,.050911903,3890.7202,.9490881,76420.641,74475.281,789662.56,10.333106,.76420641,.0070108823,.052241765,74,1,1,2006
7196,5030.5728,.049071439,3559.1477,.95092857,72529.922,70750.352,715187.31,9.8605833,.72529924,.0070912549,.050305728,75,1,1,2006
7068,5362.1958,.052221838,3601.7805,.94777817,68970.773,67169.883,644436.94,9.3436232,.68970776,.0077082058,.053621955,76,1,1,2006
6649,5594.8262,.05442575,3557.7563,.94557422,65368.992,63590.113,577267.06,8.8309002,.65368992,.0080540283,.055948261,77,1,1,2006
6567,5969.2402,.057962444,3582.7302,.94203758,61811.234,60019.871,513676.94,8.3104143,.61811233,.0084570153,.059692401,78,1,1,2006
5877,7486.813,.072166637,4202.1553,.92783338,58228.504,56127.426,453657.06,7.7909794,.58228505,.010220868,.074868128,79,1,1,2006
5875,7302.1274,.070449129,3806.1091,.92955089,54026.348,52123.293,397529.63,7.3580694,.54026347,.0094535705,.07302127,80,1,1,2006
5433,8614.0254,.082583375,4147.3569,.91741663,50220.238,48146.559,345406.34,6.8778315,.50220239,.010368191,.086140253,81,1,1,2006
5144,9234.0596,.088265359,4066.6396,.91173464,46072.883,44039.563,297259.78,6.4519467,.46072882,.010103882,.092340596,82,1,1,2006
4774,10012.568,.095352083,4005.3828,.90464795,42006.242,40003.551,253220.22,6.0281568,.42006242,.0097575122,.10012569,83,1,1,2006
4210,11900.237,.11231925,4268.228,.88768077,38000.859,35866.746,213216.67,5.6108379,.38000861,.010056034,.11900238,84,1,1,2006
3984,12525.101,.11786938,3976.0444,.88213062,33732.633,31744.611,177349.92,5.2575178,.33732632,.008887941,.12525101,85,1,1,2006
3550,14000,.13084112,3893.3853,.86915886,29756.588,27809.895,145605.31,4.8932128,.29756588,.0081379702,.14,86,1,1,2006
2657,14565.299,.13576566,3511.3347,.86423433,25863.203,24107.535,117795.42,4.5545564,.25863203,.006732686,.14565299,87,1,1,2006
2046,17106.549,.15758666,3522.3564,.84241331,22351.869,20590.691,93687.883,4.1915011,.22351868,.0061133341,.17106548,88,1,1,2006
1721,19116.793,.17448953,3285.5525,.8255105,18829.512,17186.736,73097.195,3.8820548,.18829511,.0050216406,.19116792,89,1,1,2006
1379,20667.15,.18731515,2911.6191,.81268483,15543.959,14088.149,55910.457,3.5969253,.15543959,.0038223187,.20667151,90,1,1,2006
1017,24778.762,.22047244,2785.0828,.77952754,12632.34,11239.799,41822.309,3.3107333,.1263234,.0030737789,.24778761,91,1,1,2006
820,29146.342,.25439063,2505.0498,.7456094,9847.2568,8594.7324,30582.51,3.1056883,.098472565,.0022238758,.2914634,92,1,1,2006
625,26080,.2307148,1693.9558,.7692852,7342.207,6495.229,21987.777,2.9947095,.073422067,.0011524196,.2608,93,1,1,2006
436,29357.799,.25600001,1445.9523,.74399996,5648.251,4925.2749,15492.549,2.7428932,.056482509,.00077058031,.293578,94,1,1,2006
249,31325.301,.27083334,1138.1227,.72916663,4202.2988,3633.2375,10567.274,2.5146413,.042022988,.00045817468,.31325305,95,1,1,2006
174,45977.012,.37383178,1145.4865,.62616825,3064.1763,2491.4331,6934.0366,2.2629366,.030641763,.00034024206,.45977011,96,1,1,2006
125,41600,.34437087,660.74091,.65562916,1918.6898,1588.3193,4442.6035,2.3154361,.019186899,.00012434326,.41600004,97,1,1,2006
94,52127.66,.41350213,520.16455,.5864979,1257.949,997.8667,2854.2842,2.2689984,.012579489,.000064610918,.52127659,98,1,1,2006
61,40983.605,.34013605,250.94708,.65986395,737.78442,612.31091,1856.4175,2.5162058,.0073778443,.000018377888,.40983605,99,1,1,2006
31,41935.484,.34666666,168.77028,.65333331,486.83734,402.45221,1244.1066,2.5554872,.0048683733,8.1763665e-06,.41935483,100,1,1,2006
19,36842.105,.31111112,98.954208,.68888891,318.06708,268.58997,841.65442,2.6461539,.0031806708,3.1373966e-06,.36842108,101,1,1,2006
12,16666.666,.15384614,33.709671,.84615386,219.11287,202.25803,573.06445,2.6153848,.0021911287,7.3700380e-07,.16666666,102,1,1,2006
7,28571.428,.25,46.3508,.75,185.4032,162.2278,370.8064,2,.0018540319,8.5776531e-07,.2857143,103,1,1,2006
5,40000,.33333334,46.3508,.66666663,139.0524,115.877,208.5786,1.5,.001390524,6.4362280e-07,.40000001,104,1,1,2006
1,0,0,0,1,92.701599,92.701599,92.701599,1,.00092701596,0,0,106,1,1,2006
1,0,1,92.701599,0,92.701599,,,,.00092701596,8.5856198e-07,,108,1,1,2006
11479,679.50171,.0067897853,675.41119,.9932102,100000,99398.016,1763324.8,17.633247,1,0,.0067592892,65,1,2,2006
10960,1560.219,.015498213,1539.3536,.98450178,99324.586,98447.156,1663926.8,16.752417,.99324584,.00010326817,.01560219,66,1,2,2006
10723,1482.7939,.014729654,1440.3427,.98527032,97785.234,96993.047,1565479.6,16.009367,.97785234,.00031193698,.014827939,67,1,2,2006
10162,1781.1454,.017663585,1701.7961,.9823364,96344.891,95442.938,1468486.6,15.241977,.96344888,.00059928978,.017811453,68,1,2,2006
9523,1858.658,.01841544,1742.8942,.98158455,94643.094,93771.648,1373043.6,14.507594,.94643092,.00088363746,.01858658,69,1,2,2006
9013,2207.9219,.021838134,2028.7671,.97816187,92900.203,91885.82,1279272,13.77039,.92900205,.0013381189,.022079218,70,1,2,2006
