population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
4659,1094.6555,.010932984,1084.0448,.98906702,100000,99030.68,1590746.4,15.907464,1,0,.010853791,65,1,1,2006
4085,2790.6978,.027576065,2727.7126,.97242391,98915.953,97361.156,1491715.8,15.080639,.98915952,.00029249155,.027906977,66,1,1,2006
4529,2230.0728,.022079157,2123.7554,.97792083,96188.242,95020.18,1394354.5,14.496101,.96188241,.00077866716,.02230073,67,1,1,2006
4059,2759.3003,.027239738,2562.292,.97276026,94064.484,92706.469,1299334.4,13.813231,.94064486,.0014305816,.027593004,68,1,1,2006
3715,3445.4912,.033871394,3099.3069,.96612859,91502.195,89952.539,1206627.9,13.186873,.91502196,.002409921,.034454912,69,1,1,2006
3520,3267.0454,.032145351,2841.7419,.96785462,88402.891,86982.023,1116675.4,12.631661,.88402891,.002913405,.032670453,70,1,1,2006
3389,3717.9109,.036500581,3123.0315,.96349943,85561.148,83999.633,1029693.3,12.03459,.8556115,.0038582077,.037179109,71,1,1,2006
3229,3933.1062,.038572513,3179.8452,.96142751,82438.117,80848.195,945693.69,11.471559,.82438117,.0046036802,.03933106,72,1,1,2006
2956,4025.7104,.039462775,3127.7515,.9605372,79258.273,77694.398,864845.5,10.911737,.79258275,.0051418776,.040257104,73,1,1,2006
3047,5349.5239,.052101646,3966.5256,.94789833,76130.523,74147.258,787151.13,10.339495,.76130521,.0072079534,.053495243,74,1,1,2006
2868,4951.1855,.048315752,3486.658,.95168424,72164,70420.672,713003.88,9.8803263,.72163999,.0070038489,.049511854,75,1,1,2006
2823,5703.1528,.05545032,3808.1807,.94454968,68677.344,66773.25,642583.19,9.3565531,.68677342,.0081919944,.057031527,76,1,1,2006
2631,5929.3047,.057585828,3735.5444,.94241416,64869.164,63001.391,575809.94,8.876482,.64869165,.0085129626,.059293047,77,1,1,2006
2643,5751.0405,.055902906,3417.5471,.9440971,61133.621,59424.848,512808.53,8.3883228,.61133623,.0081202369,.057510406,78,1,1,2006
2336,8047.9453,.077366255,4465.2764,.92263377,57716.074,55483.438,453383.69,7.8554144,.57716072,.010897338,.080479451,79,1,1,2006
2360,6779.6611,.065573774,3491.8557,.93442625,53250.797,51504.867,397900.25,7.4721932,.53250796,.0086927386,.06779661,80,1,1,2006
2141,9154.6006,.087539077,4355.8516,.91246092,49758.941,47581.016,346395.38,6.9614701,.49758941,.010889377,.091545999,81,1,1,2006
2089,8329.3438,.07996323,3630.5776,.92003679,45403.09,43587.801,298814.38,6.5813665,.4540309,.0089997249,.083293431,82,1,1,2006
1918,9697.6016,.092491299,3863.5938,.90750873,41772.512,39840.715,255226.56,6.1099167,.41772512,.0093974518,.096976012,83,1,1,2006
1673,12552.301,.11811023,4477.4312,.88188976,37908.918,35670.203,215385.86,5.6816673,.37908918,.010539003,.12552302,84,1,1,2006
1617,11997.526,.11318553,3783.9607,.88681448,33431.488,31539.508,179715.66,5.3756404,.33431488,.0084211454,.11997526,85,1,1,2006
1410,12907.802,.1212525,3594.8369,.87874752,29647.527,27850.109,148176.14,4.9979258,.29647526,.0074980268,.12907802,86,1,1,2006
1105,13484.163,.12632471,3291.0989,.87367529,26052.691,24407.143,120326.03,4.6185641,.26052693,.0063403891,.13484164,87,1,1,2006
814,16584.766,.15314804,3485.8931,.84685194,22761.592,21018.645,95918.891,4.2140679,.22761592,.0061284415,.16584766,88,1,1,2006
694,18155.619,.16644649,3208.3726,.83355349,19275.699,17671.514,74900.242,3.8857341,.192757,.0049922834,.1815562,89,1,1,2006
559,18962.434,.17320262,2782.9031,.82679737,16067.326,14675.875,57228.73,3.5618079,.16067326,.0037529496,.18962434,90,1,1,2006
399,26566.416,.23451327,3115.3735,.76548672,13284.423,11726.736,42552.855,3.2032144,.13284422,.0035888052,.26566416,91,1,1,2006
339,29498.525,.25706941,2614.1514,.74293059,10169.049,8861.9727,30826.121,3.0313673,.10169049,.0023880149,.29498526,92,1,1,2006
246,26829.268,.23655914,1787.1801,.76344085,7554.8975,6661.3076,21964.148,2.9072728,.075548977,.0012481903,.2682927,93,1,1,2006
170,31764.705,.27411166,1580.9985,.72588837,5767.7173,4977.2178,15302.841,2.6531885,.057677172,.00085928087,.31764704,94,1,1,2006
94,27659.574,.24299066,1017.3336,.75700933,4186.7188,3678.052,10325.623,2.4662805,.041867189,.00040809653,.27659574,95,1,1,2006
67,46268.656,.37575758,1190.9205,.62424242,3169.3853,2573.925,6647.5708,2.0974321,.031693853,.00036548582,.46268657,96,1,1,2006
45,44444.445,.36363637,719.44171,.63636363,1978.4647,1618.7439,4073.646,2.0589936,.019784648,.00013952289,.44444445,97,1,1,2006
36,66666.664,.5,629.51147,.5,1259.0229,944.26721,2454.9021,1.949847,.01259023,.00007825908,.66666669,98,1,1,2006
