population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
11261,1172.1871,.01170631,1160.0212,.98829371,100000,98962.117,1589509.6,15.895096,1,0,.011615492,65,1,1,2006
10558,2850.9187,.028163927,2783.7219,.97183609,98839.977,97253.258,1490547.6,15.080413,.98839974,.00031917292,.028509188,66,1,1,2006
11024,2294.9927,.022715336,2181.9502,.97728467,96056.258,94856.188,1393294.3,14.504982,.96056259,.00082656863,.022949928,67,1,1,2006
10099,2713.1399,.026789783,2514.8723,.97321022,93874.305,92541.422,1298438.1,13.831667,.93874305,.0014461655,.027131401,68,1,1,2006
9376,2986.3481,.029424127,2688.1714,.97057587,91359.43,90015.344,1205896.8,13.199477,.91359431,.0021220359,.02986348,69,1,1,2006
8751,3462.4614,.034035385,3017.9604,.96596462,88671.258,87162.281,1115881.4,12.584476,.88671255,.0030316438,.034624618,70,1,1,2006
8417,3564.2153,.035018094,2999.4153,.96498191,85653.297,84153.586,1028719.1,12.010268,.85653299,.0036858083,.035642155,71,1,1,2006
7948,3963.2612,.0388625,3212.1365,.96113747,82653.883,81047.813,944565.5,11.427963,.8265388,.0046053175,.039632611,72,1,1,2006
7574,4040.1372,.039601397,3146.0042,.96039861,79441.75,77868.75,863517.69,10.869823,.7944175,.0051380019,.040401369,73,1,1,2006
7536,5254.7769,.05120248,3906.5313,.94879752,76295.742,74342.477,785648.94,10.297415,.76295739,.0070650945,.052547768,74,1,1,2006
7208,5022.1978,.048991747,3546.4739,.95100826,72389.211,70615.977,711306.44,9.8261385,.72389209,.00708842,.05022198,75,1,1,2006
7035,5387.3491,.05246038,3611.5161,.94753963,68842.734,67036.977,640690.5,9.3065815,.68842733,.007746526,.053873494,76,1,1,2006
6624,5615.9419,.054625548,3563.291,.94537443,65231.219,63449.574,573653.5,8.7941561,.65231216,.0080815796,.056159418,77,1,1,2006
6549,5985.6465,.058117121,3583.9626,.94188285,61667.93,59875.949,510203.94,8.2734079,.61667931,.0084719835,.059856467,78,1,1,2006
5860,7593.8564,.073160708,4249.4644,.92683929,58083.969,55959.238,450327.97,7.7530508,.58083969,.010345956,.075938568,79,1,1,2006
5854,7328.3228,.070692927,3805.7188,.9293071,53834.504,51931.645,394368.75,7.3255758,.53834504,.0094583398,.073283233,80,1,1,2006
5405,8677.1504,.083163396,4160.5635,.91683662,50028.785,47948.504,342437.09,6.8448014,.50028783,.010401405,.086771496,81,1,1,2006
5138,9264.3057,.088541672,4061.249,.91145831,45868.223,43837.598,294488.59,6.4203186,.45868224,.010083791,.092643052,82,1,1,2006
4768,9962.248,.094895609,3967.2981,.9051044,41806.973,39823.324,250650.98,5.9954348,.41806972,.0096519375,.099622473,83,1,1,2006
4192,11927.48,.1125619,4259.3062,.88743812,37839.676,35710.023,210827.67,5.5716038,.37839675,.010018426,.11927481,84,1,1,2006
3985,12496.863,.11761928,3949.699,.88238072,33580.371,31605.521,175117.64,5.2148809,.33580372,.0088093923,.12496864,85,1,1,2006
3545,14047.955,.13125989,3889.3186,.86874008,29630.672,27686.012,143512.13,4.8433638,.29630673,.0081095817,.14047955,86,1,1,2006
2650,14641.51,.13642757,3511.8303,.86357242,25741.354,23985.438,115826.11,4.4996123,.25741354,.006712927,.1464151,87,1,1,2006
2047,17244.748,.15875871,3529.1306,.8412413,22229.523,20464.959,91840.672,4.1314726,.22229524,.0061011636,.17244749,88,1,1,2006
1713,19439.58,.17717478,3313.2378,.82282519,18700.393,17043.773,71375.711,3.8168027,.18700393,.00503723,.19439578,89,1,1,2006
1367,20848.574,.18880424,2905.1599,.81119573,15387.154,13934.574,54331.938,3.5309932,.15387154,.0037823753,.20848574,90,1,1,2006
1009,24975.223,.22202642,2771.3325,.77797359,12481.994,11096.328,40397.363,3.2364511,.12481994,.0030274016,.24975222,91,1,1,2006
815,29447.854,.25668451,2492.5767,.74331546,9710.6621,8464.374,29301.037,3.0174088,.097106621,.0021854145,.29447857,92,1,1,2006
622,26527.332,.23420866,1690.5381,.76579136,7218.0854,6372.8164,20836.662,2.8867297,.072180852,.0011321665,.2652733,93,1,1,2006
432,29861.111,.25981873,1436.1604,.74018127,5527.5474,4809.4673,14463.847,2.6166844,.055275474,.00074996433,.29861113,94,1,1,2006
250,31600,.27288428,1116.4752,.72711575,4091.387,3533.1494,9654.3789,2.3596838,.040913869,.00043810401,.31600001,95,1,1,2006
173,50289.016,.40184757,1195.4611,.5981524,2974.9116,2377.1812,6121.23,2.0576174,.029749116,.00034505912,.50289017,96,1,1,2006
129,41085.27,.34083599,606.50079,.65916401,1779.4506,1476.2002,3744.0488,2.1040478,.017794505,.00010600335,.41085267,97,1,1,2006
87,55172.414,.43243244,507.2215,.56756759,1172.9497,919.33899,2267.8486,1.9334577,.011729497,.000058796693,.55172414,98,1,1,2006
60,41666.668,.34482759,229.56146,.65517241,665.72821,550.94751,1348.5095,2.0256157,.0066572819,.000015180813,.41666669,99,1,1,2006
25,56000,.4375,190.82295,.5625,436.16675,340.75528,797.56207,1.8285714,.0043616677,8.2867609e-06,.56,100,1,1,2006
17,47058.824,.38095239,93.464302,.61904764,245.3438,198.61165,456.80676,1.8619047,.002453438,2.2874628e-06,.47058824,101,1,1,2006
9,22222.223,.2,30.375898,.80000001,151.87949,136.69154,258.19513,1.7,.0015187949,4.6064690e-07,.22222224,102,1,1,2006
3,66666.664,.5,60.751793,.5,121.50359,91.127686,121.50359,1,.0012150359,7.3725926e-07,.66666669,103,1,1,2006
1,200000,1,60.751793,0,60.751793,30.375896,30.375896,.5,.00060751796,3.6885385e-07,,104,1,1,2006
11350,678.41412,.0067789261,674.33667,.99322104,100000,99398.977,1763784.9,17.637848,1,0,.0067485273,65,1,2,2006
10909,1540.0128,.015298818,1519.5653,.98470116,99325.664,98459.516,1664385.9,16.756857,.99325663,.00010177894,.015400128,66,1,2,2006
10670,1471.4152,.014617365,1429.6675,.98538262,97806.102,97019.781,1565926.4,16.010519,.97806102,.0003067732,.014714152,67,1,2,2006
10116,1749.7035,.017354321,1672.5476,.98264569,96376.438,95489.984,1468906.5,15.241344,.96376437,.00058409729,.017497037,68,1,2,2006
9481,1824.702,.018082049,1712.4403,.98191798,94703.891,93847.672,1373416.6,14.502219,.94703889,.00085889554,.018247019,69,1,2,2006
9008,2209.1475,.021850124,2031.8748,.97814989,92991.453,91975.516,1279568.9,13.76007,.92991453,.0013242437,.022091474,70,1,2,2006
8404,2379.8191,.023518344,2139.2188,.97648168,90959.578,89889.969,1187593.4,13.056276,.90959579,.0017591071,.023798192,71,1,2,2006
8072,2465.3123,.024352934,2163.0364,.97564709,88820.359,87738.844,1097703.4,12.358691,.88820362,.0021478508,.024653122,72,1,2,2006
7567,2986.6526,.029427083,2550.0723,.97057289,86657.32,85382.281,1009964.6,11.654695,.86657321,.0029484974,.029866526,73,1,2,2006
7610,2864.6519,.028242001,2375.3572,.97175801,84107.25,82919.57,924582.31,10.992897,.8410725,.0031751292,.028646519,74,1,2,2006
7332,3682.4878,.036159102,2955.3518,.9638409,81731.891,80254.211,841662.75,10.29785,.81731892,.0044125975,.036824878,75,1,2,2006
7187,4104.6333,.040220872,3168.4612,.95977914,78776.539,77192.305,761408.5,9.6654224,.78776538,.0052973842,.041046333,76,1,2,2006
6696,4883.5127,.047671113,3604.3213,.95232886,75608.078,73805.914,684216.19,9.0495119,.75608081,.006647184,.048835125,77,1,2,2006
6474,4942.8481,.048236355,3473.1987,.95176363,72003.758,70267.156,610410.31,8.477479,.72003758,.0070013944,.049428478,78,1,2,2006
6060,5726.0728,.055666961,3814.8882,.94433302,68530.563,66623.117,540143.13,7.8817844,.6853056,.0082272571,.057260726,79,1,2,2006
5818,7614.3003,.073350444,4746.9233,.92664957,64715.676,62342.215,473520.03,7.3169293,.64715677,.010839357,.076143004,80,1,2,2006
5504,7539.9707,.072660416,4357.3545,.92733955,59968.754,57790.078,411177.81,6.856534,.59968752,.010460369,.075399704,81,1,2,2006
