population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
4581,1266.0991,.012642839,1251.9072,.98735714,100000,98879.086,1571844.9,15.718449,1,0,.01253687,65,1,1,2006
4110,2944.0388,.02907235,2870.8391,.97092766,98748.094,97111.719,1472965.8,14.916397,.98748094,.00035490273,.029440388,66,1,1,2006
4510,2328.1597,.023040211,2209.0322,.97695976,95877.258,94662.289,1375854,14.35016,.9587726,.0008731797,.023281597,67,1,1,2006
4029,2829.4863,.027923521,2615.5466,.97207648,93668.227,92281.984,1281191.8,13.677976,.93668228,.0015512437,.028294863,68,1,1,2006
3703,3645.6926,.035804268,3260.0745,.96419573,91052.68,89422.641,1188909.8,13.057384,.91052681,.0026559089,.036456924,69,1,1,2006
3516,3327.645,.03273185,2873.6143,.96726817,87792.602,86355.797,1099487.1,12.523687,.87792599,.0030797082,.03327645,70,1,1,2006
3395,3799.7056,.037288625,3166.5122,.96271139,84918.984,83335.727,1013131.3,11.930563,.84918982,.0040552402,.037997056,71,1,1,2006
3192,4010.0251,.039312039,3213.8562,.96068794,81752.469,80145.539,929795.56,11.373302,.81752467,.004794369,.04010025,72,1,1,2006
2935,4122.6577,.040393926,3172.4829,.95960605,78538.609,76952.367,849650.06,10.818247,.78538609,.0053473716,.041226581,73,1,1,2006
3051,5408.063,.052656773,3968.5369,.94734323,75366.125,73381.859,772697.69,10.252586,.75366127,.0073678256,.054080628,74,1,1,2006
2874,5184.4121,.05053417,3608.0178,.94946581,71397.586,69593.578,699315.81,9.7946701,.71397585,.0073680896,.05184412,75,1,1,2006
2802,5852.9624,.056865469,3854.8857,.94313455,67789.57,65862.125,629722.25,9.2893677,.67789572,.0084172627,.058529627,76,1,1,2006
2631,6005.3213,.058302585,3727.5574,.94169742,63934.684,62070.906,563860.13,8.819315,.63934684,.0085950932,.060053214,77,1,1,2006
2639,5835.5439,.056701034,3413.8062,.94329894,60207.125,58500.223,501789.22,8.334383,.60207123,.0081788469,.058355439,78,1,1,2006
2317,8070.7813,.077577263,4405.8701,.92242277,56793.32,54590.387,443288.97,7.8053012,.5679332,.010811348,.080707803,79,1,1,2006
2355,6751.5923,.065311149,3421.4844,.93468887,52387.449,50676.707,388698.59,7.4196892,.52387452,.0085342098,.067515917,80,1,1,2006
2141,9061.1865,.08668454,4244.5923,.91331547,48965.965,46843.668,338021.88,6.9032006,.48965964,.010606942,.090611868,81,1,1,2006
2091,8321.377,.079889804,3572.7815,.92011023,44721.371,42934.98,291178.22,6.510941,.44721371,.0088324025,.083213769,82,1,1,2006
1907,9648.6631,.092046022,3787.564,.90795398,41148.59,39254.809,248243.23,6.0328493,.41148591,.0091721648,.096486628,83,1,1,2006
