population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
11422,1111.8893,.011104891,1100.942,.98889512,100000,99015.438,1608725.1,16.087252,1,0,.011023182,65,1,1,2006
10719,2705.4763,.026743639,2644.9207,.97325635,98899.055,97391.453,1509709.8,15.265159,.98899055,.00028798549,.027054762,66,1,1,2006
11095,2073.0059,.020538464,1976.9121,.97946155,96254.133,95166.828,1412318.3,14.672807,.96254134,.0007127857,.020730058,67,1,1,2006
10236,2481.438,.024528312,2312.4609,.97547168,94277.219,93051.617,1317151.4,13.971046,.94277221,.0012476369,.024814378,68,1,1,2006
9324,2895.7529,.028544243,2625.0645,.97145575,91964.758,90652.227,1224099.9,13.310533,.91964757,.0019398154,.028957529,69,1,1,2006
8840,3167.4209,.031180402,2785.6477,.96881962,89339.695,87946.875,1133447.6,12.686943,.89339697,.0026530181,.03167421,70,1,1,2006
8405,3307.5549,.032537453,2816.2483,.96746254,86554.047,85145.922,1045500.7,12.079165,.86554044,.0032775546,.033075552,71,1,1,2006
8061,3709.2173,.036416784,3049.4612,.96358323,83737.797,82213.063,960354.81,11.468595,.83737797,.0041526374,.037092172,72,1,1,2006
7547,4173.8438,.040885195,3298.9583,.95911479,80688.336,79038.859,878141.75,10.883131,.80688334,.005140523,.041738436,73,1,1,2006
7596,4515.5347,.044158354,3417.3875,.95584166,77389.375,75680.68,799102.88,10.325744,.77389377,.0059798202,.045155346,74,1,1,2006
7268,4870.666,.047548693,3517.2712,.95245129,73971.984,72213.352,723422.19,9.7796783,.73971987,.0067719566,.048706662,75,1,1,2006
7150,5006.9932,.048847046,3441.5044,.95115298,70454.711,68733.961,651208.81,9.2429419,.70454711,.0071638525,.050069928,76,1,1,2006
6604,5981.2236,.058075424,3891.8203,.94192457,67013.203,65067.293,582474.88,8.6919422,.67013204,.0086030671,.059812237,77,1,1,2006
6587,5601.9434,.054493096,3439.6794,.94550693,63121.383,61401.543,517407.59,8.1970253,.63121384,.0080069872,.056019429,78,1,1,2006
5851,7520.082,.072475702,4325.4731,.92752433,59681.703,57518.965,456006.03,7.6406336,.59681702,.010408233,.075200811,79,1,1,2006
5923,7209.1846,.06958364,3851.8879,.93041635,55356.23,53430.285,398487.06,7.1985946,.55356228,.0095192119,.072091848,80,1,1,2006
5368,9053.6514,.086615577,4461.0786,.91338444,51504.344,49273.805,345056.78,6.6995664,.51504344,.0111426,.09053652,81,1,1,2006
5143,9274.7422,.088636994,4169.7734,.91136301,47043.266,44958.379,295783,6.2874675,.47043267,.010387981,.092747413,82,1,1,2006
4696,9965.9287,.09492901,4069.9382,.90507102,42873.492,40838.523,250824.61,5.8503423,.42873493,.0099681448,.099659294,83,1,1,2006
4257,12473.573,.11741294,4556.0396,.88258708,38803.555,36525.535,209986.08,5.4115167,.38803554,.010818951,.12473574,84,1,1,2006
3992,12474.95,.11742514,4021.5193,.88257486,34247.516,32236.756,173460.55,5.064909,.34247515,.0090558948,.1247495,85,1,1,2006
3483,14585.128,.13593791,4108.8589,.86406207,30225.996,28171.566,141223.8,4.6722627,.30225995,.0086655365,.14585127,86,1,1,2006
2661,14956.783,.13916084,3634.4827,.86083913,26117.137,24299.895,113052.23,4.328661,.26117137,.00701313,.14956783,87,1,1,2006
2040,17892.156,.16422947,3692.3145,.83577055,22482.654,20636.496,88752.328,3.9475913,.22482654,.0064349496,.17892157,88,1,1,2006
1685,22789.318,.20458178,3844.1611,.7954182,18790.34,16868.26,68115.836,3.6250455,.1879034,.0058660256,.22789317,89,1,1,2006
1356,21017.699,.1901902,2842.6167,.8098098,14946.179,13524.87,51247.574,3.4288077,.14946179,.0036136187,.210177,90,1,1,2006
972,29012.346,.25336927,3066.6709,.74663073,12103.563,10570.227,37722.707,3.1166615,.12103563,.0032625087,.29012346,91,1,1,2006
819,26129.426,.23110151,2088.4392,.76889849,9036.8916,7992.6719,27152.479,3.0046258,.090368919,.0017167468,.26129425,92,1,1,2006
596,30704.697,.26618183,1849.5516,.73381817,6948.4521,6023.6763,19159.807,2.7574208,.069484524,.001195854,.30704698,93,1,1,2006
454,30176.211,.26220095,1336.9365,.73779905,5098.9004,4430.4321,13136.131,2.5762675,.050989006,.00064693193,.3017621,94,1,1,2006
232,33189.656,.28465804,1070.8733,.71534193,3761.9639,3226.5273,8705.6982,2.3141365,.037619639,.00038770327,.33189657,95,1,1,2006
