population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
4749,1221.3097,.012196206,1208.1035,.98780382,100000,98918.688,1578805.9,15.788058,1,0,.012097608,65,1,1,2006
4271,2786.2327,.027532466,2719.9846,.97246754,98791.898,97241.508,1479887.3,14.979844,.98791897,.00032463222,.027862327,66,1,1,2006
4339,2166.3977,.021454819,2061.2056,.97854519,96071.914,94938.25,1382645.6,14.391778,.96071917,.00077785464,.021663979,67,1,1,2006
4047,2989.8691,.029484365,2771.8462,.97051561,94010.711,92541.633,1287707.4,13.697453,.94010711,.0015607083,.029898692,68,1,1,2006
3704,3185.7451,.031357959,2861.0647,.96864206,91238.867,89808.336,1195165.8,13.099305,.91238868,.0022870086,.031857453,69,1,1,2006
3556,3290.2136,.032369621,2860.7561,.96763039,88377.805,86947.43,1105357.5,12.507184,.88377804,.0029384089,.032902136,70,1,1,2006
3365,3536.4041,.034749597,2971.6829,.96525037,85517.047,84031.203,1018410.1,11.908854,.85517049,.0036805461,.035364039,71,1,1,2006
3227,3253.7961,.032017075,2642.8611,.96798295,82545.367,81223.938,934378.81,11.319579,.8254537,.0038078316,.03253796,72,1,1,2006
2998,4169.4463,.040842999,3263.458,.95915699,79902.508,78270.781,853154.88,10.677448,.79902506,.0052405917,.041694462,73,1,1,2006
3007,5420.6851,.05277643,4044.7354,.94722354,76639.047,74616.68,774884.13,10.110826,.76639044,.0072415373,.054206852,74,1,1,2006
2864,5202.5142,.050706144,3680.9778,.94929385,72594.313,70753.82,700267.44,9.6463127,.72594315,.0073232939,.052025143,75,1,1,2006
2846,5762.4736,.056010928,3859.8999,.9439891,68913.336,66983.383,629513.63,9.1348591,.68913335,.0082690082,.057624735,76,1,1,2006
2663,6045.813,.058684163,3817.6064,.94131583,65053.438,63144.633,562530.25,8.6472025,.65053439,.0086789243,.060458127,77,1,1,2006
2606,5909.4399,.057398435,3514.8408,.94260156,61235.832,59478.41,499385.59,8.1551208,.61235833,.0083433753,.059094395,78,1,1,2006
2388,7328.3081,.070692785,4080.4578,.92930722,57720.992,55680.762,439907.19,7.6212687,.57720995,.0099578928,.073283076,79,1,1,2006
2348,7027.2573,.067887269,3641.5095,.93211275,53640.535,51819.781,384226.44,7.1629868,.53640532,.0090555102,.07027258,80,1,1,2006
2098,9914.2041,.094459586,4722.8872,.90554041,49999.027,47637.582,332406.66,6.6482625,.49999028,.011807219,.099142037,81,1,1,2006
2032,9399.6064,.089776732,4064.7439,.91022325,45276.141,43243.77,284769.06,6.2896056,.45276141,.010071156,.093996063,82,1,1,2006
1943,9006.6904,.086185664,3551.8318,.91381431,41211.398,39435.484,241525.3,5.8606429,.41211399,.0086052381,.090066902,83,1,1,2006
1665,12552.553,.11811246,4448.064,.88188756,37659.566,35435.535,202089.81,5.3662276,.37659568,.010442781,.12552552,84,1,1,2006
1592,12562.814,.11820331,3925.7097,.88179672,33211.504,31248.648,166654.28,5.0179687,.33211502,.0087077981,.12562814,85,1,1,2006
1419,13953.488,.13043478,3819.8862,.86956525,29285.795,27375.852,135405.63,4.6235938,.29285794,.0079106856,.13953488,86,1,1,2006
1083,15420.129,.14316331,3645.7837,.85683668,25465.908,23643.016,108029.77,4.2421331,.25465909,.0069199833,.1542013,87,1,1,2006
819,18803.418,.171875,3750.334,.828125,21820.125,19944.957,84386.758,3.867382,.21820125,.0063976748,.18803419,88,1,1,2006
